CÓDIGO;NOMBRE DEL COLOR;TIPO DE PINTURA;BASE 1;BASE 2;BASE 3;BASE 4;BASE 5;BASE 6;BASE 7;BASE 8;BASE 9;BASE 10;BASE 11;BASE 12;BASE 13;BASE 14;BASE 15;BASE 16;BASE 17
AMARILLO NARANJA;ROBLE;DUCO;15;2;25;48;5;59;;;;;;;;;;;
NARANJA MARRON;MELOo;DUCO;40;72;1;8;22;4;;;;;;;;;;;
OCRE CHOCOLATE;LOURO;DUCO;55;15;44;15;22;;;;;;;;;;;;
BLANCO BASE P/ QT1;QT1-PERLA;DUCO;148;1,5;0,3;0,1;7,6;;;;;;;;;;;;
GRIS GRAFITO CLARO;GRAFITO-2;DUCO;57;5;16;15;49;5;3;1;;;;;;;;;
BASE BIEGE MARRON MET ;C41;DUCO;80;10;30;7;5;4;7;;;;;;;;;;
BLUE MET;B41;DUCO;78;30;3;13;28;;;;;;;;;;;;
GRIS METALICO BASE;ZY4;DUCO;79;8;4;23;16;10;;;;;;;;;;;
AZUL BASE METALICO;8Q1;DUCO;100;12;24;4;;;;;;;;;;;;;
NEGRO METALICO;205  TOY;DUCO;136;3,4;0,9;5,7;;;;;;;;;;;;;
AZUL METALICO BASE;BUS-1;DUCO;440;110;192;3;80;;;;;;;;;;;;
GRIS HUMO;GRIS HUMO;DUCO;150;0,2;1;1;4;;;;;;;;;;;;
NARANJA CHOCOLATE;CAYENA;DUCO;10;14;15;25;80;;;;;;;;;;;;
AMARILLO NARANJA;VIGNETO;DUCO;13;14;17;25;80;;;;;;;;;;;;
ALUMINIO VENTANAS;ALV-SER;SER;300;250;100;155;;;;;;;;;;;;;
MAGENTA;LILAS-7;SER;310;4;500;;;;;;;;;;;;;;
VERDE METALICO;GUDIÑO;DUCO;1300;500;50;40;390;11;11;12;10;;;;;;;;
VERDE BASE P/ 6P4;6P4;DUCO;16;12;4;13;94;;;;;;;;;;;;
VERDE BASE SOLIDO;760-TOY;DUCO;370;13;220;170;40;7;;;;;;;;;;;
VERDE METALICO BASE;6T3;DUCO;32;4,5;60;27;0,2;3;15,3;;;;;;;;;;
BEIGE EXPRESO;EXPRESO;DUCO;35;24;60;15;22;;;;;;;;;;;;
GRIS CLARO;CINZA SAGRADO;DUCO;117;20;3;4;2;;;;;;;;;;;;
BLANCO BASE P/ QAC;QAC;DUCO;152;0,7;0,7;;;;;;;;;;;;;;
MARRON NOGAL;NOGAL;DUCO;50;35;30;14;11;10;;;;;;;;;;;
MARRON BEIGE;FREITO;DUCO;72;38;18;4;4;3;4;5;;;;;;;;;
