CÓDIGO;NOMBRE DEL COLOR;TIPO DE PINTURA;BASE 1;BASE 2;BASE 3;BASE 4;BASE 5;BASE 6;BASE 7;BASE 8;BASE 9;BASE 10;BASE 11;BASE 12;BASE 13;BASE 14;BASE 15;BASE 16;BASE 17
FHVL-16;RED MET_VJ;VOLVO;50;28;25;21;3;11;21;7;75;19;150;;;;;;
4W5;POP ORANGE PEARL_VJ;TOYOTA;70;10;8;9;4;4;12;;;;;;;;;;
EY0;LIGHT GOLD MET_VJ;NISSAN;80;53;10;4;11;21;1;1;3;37;;;;;;;
LD/LE;TURQUOISE MET _VJ;VOLKSWAGEN;42;4;6;10;7;31;22;25;41;;;;;;;;
BL3;GREYISH BLUE_VJ;NISSAN;32;5;7;4;24;;;;;;;;;;;;
DT9;SADDLE BROWN_VJ;SALCOMIX;25;27;43;50;40;6;800;;;;;;;;;;
PLATA;PLATA FRANJA_VJ;SALCOMIX;90;1;33;310;;;;;;;;;;;;;
CDR-6;VERDE INTENSO;NISSAN;95;5;21;99;;;;;;;;;;;;;
CTR-12;AZUL VIOLETA_VJ;TOYOTA;50;20;4;4;2;12;6;40;100;;;;;;;;
CTR-13;BEIGE INTERMEDIO MET_VJ;TOYOTA;65;70;30;7;39;;;;;;;;;;;;
CTR-14;DOURADO SOCALO MET_VJ;TOYOTA;20;50;20;8;50;6;2;35;;;;;;;;;
764-TOY;LIGHT AQUA OPAL MET_VJ;TOYOTA;33;40;9;3;26;1;2;3;31;18;35;;;;;;
PADCAYA;NARANJA AMARILLO_VJ;BUS FLOTA;20;32;2;1;7;8;7;60;;;;;;;;;
KAD-KS;STEEL GREY MET_VJ;NISSAN KICS;70;46;14;6;14;5;6;5;1;15;;;;;;;
1G3-DAI;GREY MET_VJ;TOYOTA;28;26;4;13;5;40;7;65;;;;;;;;;
B76-3;ROUGE DE FEU NACRE MET_VJ;RENAULT;24;13;36,7;8,6;3,2;0,8;0,5;5;5;49,2;3;50;;;;;
ZRL;SMOKY GREEN 2 MET_VJ;SUZUKI;80;24;25;2;6;5;15;37;;;;;;;;;
NAC-MH;NEW RED METALLIC-VJ;NISSAN MARCH;32,2;6,3;3,5;1,4;17,5;14,7;5,6;28;80;;;;;;;;
ZMA;QUASAR GRAY MET_VJ;SUZUKI;33;3;18;9;7;12;10;98;;;;;;;;;
ZQ6;MINERAL GREY MET;SUZUKI;60;18;6;23;22;5;25;2;5;14;;;;;;;
8W7;DARK BLUE MICA MET_VJ;TOYOTA;58;1;38;8;8;37;1;8;50;;;;;;;;
A71;HAMILTON SILVER MET;MITSUBISHI;59;37,8;15;0,5;1;10,7;6;1;1,5;0,5;;;;;;;
1610-VL;GENTIANA BLUE_VJ;VOLVO;80;17;1;3;4;62;;;;;;;;;;;
1610-SLX;GENTIANA BLUE_VJ;VOLVO;40;17;1;18;5;23;10;100;;;;;;;;;
1205C;GRIS MET_VJ;GREAD WALL;44;26;5;9;1;9;1;30;;;;;;;;;
DH6;GREYISH GREEN PEARL_VJ;NISSAN;56;16;5;20;6;2;45;36;;;;;;;;;
290-BPE;NEGRO IV_VJ;FARBEN;27;130;4;10;42;;;;;;;;;;;;
6P0;MEDIUN GREEN MICA MET_VJ;TOYOTA;64;15;12;4;47;5;29;20;3;;;;;;;;
329-NIS;DARK RED MET_VJ;NISSAN;32;2;10;1;1;20;;;;;;;;;;;
TORITO;AMARILLO CROMO;TORITO;119;7,7;4,2;2,8;0,3;31,5;56;;;;;;;;;;
RAW;SHINING BLUE PEARL METALLIC_VJ;NISSAN;18;19;11;30;3;2;6;2;16;31;5;44;;;;;
T48;METEOR GREY MET_VJ;MITSUBISHI;33;5;13;14;14;8;11;13;26;;;;;;;;
R4G;TITAN GREY MET_VJ;HYUNDAI;18;7;17;9;10;12;8;8;100;;;;;;;;
8A1;BLUE_VJ;TOYOTA;57;12;4;5;22;;;;;;;;;;;;
LATERAL;GRIS CENIZA LATERAL;YANMAR;93;15;45;51;;;;;;;;;;;;;
K23-1;BRILLIANT SILVER MET_VJ;NISSAN;66,8;25,2;53;31,6;17;3,8;1;;;;;;;;;;
199-2;SILVER MET_VJ;TOYOTA;60,7;82,1;41,7;0,9;3,9;;;;;;;;;;;;
8B5;BLUE MET_VJ;TOYOTA;96;8;13;6;1;16;32;;;;;;;;;;
98629-VL;GOLDEN YELLOW_VJ;VOLVO;182;0,4;0,4;3;49;130;587;;;;;;;;;;
042-BAS;BLANCO BASE P/ 042;TOYOTA;150,4;0,9;0,2;0,1;4,2;;;;;;;;;;;;
LUCI;SADLE BROWN PEARL;FARBEN;132;100;30;10;30;1000;;;;;;;;;;;
UD-PU;CLEAR WHITE_VJ;KIA;235;0,9;0,7;0,1;;;;;;;;;;;;;
8V7;COOL SODA MET_VJ;TOYOTA;78;13;26;13;2;11,7;0,5;5,2;48,1;;;;;;;;
1G3-R4;GREY MET_VJ;TOYOTA COROLLA;180;100;42;26;20;10;7;12;2;4;;;;;;;
BX5;BLUE_VJ;NISSAN;310;120;70;40;40;153;47;920;;;;;;;;;
186-BPA;ROJO OXIDO_VJ;FARBEN;800;15;14;1800;;;;;;;;;;;;;
EY0-2;LIGHT GOLD MET_VJ;NISSAN;210;48;21;9;4,1;4,5;17;39;1,5;61,5;;;;;;;
LUCI-2;SADLE BROWN PEARL;FARBEN;80;140;8;5;15;550;;;;;;;;;;;
EXP-1;AZUL CELESTE EXP.SUR;FARBEN;1220;45;30;135;2400;;;;;;;;;;;;
C20;BRONZE GOLD MET_VJ;NISSAN;40;16;22,4;22,4;1,3;4,8;1,6;8;0,3;32;44,8;;;;;;
2705-VL;ICED MERCURY MET_VJ;VOLVO;131;15;13;3;4;10;30;;;;;;;;;;
ZFQ;FROST BLUE MET_VJ;SUZUKI;57;10;13;3;11;5;6;12;18;70;;;;;;;
K11;SMOKE MET_VJ;NISSAN;88;18;25;8;11;2;5;2;24;;;;;;;;
KAX;DARK GREY MET_VJ;NISSAN;74;10;25;4;3;3;2;27;37;;;;;;;;
T64;DARK BLUE PEARL_VJ;MITSUBISHI;75;20;47,5;35;15;2;2;5;;;;;;;;;
ZNW-2;FIRE BRICK RED MET_VJ;SUZUKI ALTO;128;12;2;18;5;22;16;34;46;46;9;100;;;;;
36C;METROPOLITAN GREY MICA_VJ;MAZDA;21;7;17;15;1;8;5;16;5;16;71;;;;;;
DZ;LIGHT SADDLE MET_VJ;FORD;405;300;210;36;26;15;85;150;;;;;;;;;
HND-1;GRIS PLATA MET_VJ;HONDA;60;30;2;1;5;19;73;;;;;;;;;;
0FT-2;RADIANT RED MICA_VJ;SUZUKI;220;140;46;52;70;4;6;15;12;330;;;;;;;
YAC;CREAM WHITE_VJ;HYUNDAI;222,2;1,8;0,4;1;0,4;0,2;;;;;;;;;;;
LUCI-3;SADLE BROWN PEARL;FARBEN;132;230;60;30;50;100;1800;;;;;;;;;;
40M;GREEN COCKTAIL PEARL MET_VJ;CHEVROLET;70;28;6;18;6;14;47;;;;;;;;;;
APE85;CLEAR POLIESTER;FARBEN;2052;960;;;;;;;;;;;;;;;
BW6;DARK BLUE PEARL_VJ;NISSAN;66;16,8;12,6;18;24,6;36;20,4;9;;;;;;;;;
KAD-NT;STEEL GREY MET_VJ;NISSAN NOTE;70;52;23;1;1;8;7;6;17;;;;;;;;
Z9T-PU;BRIGHT RED 2_VJ;SUZUKI;300;120;18;4;1;40;30;;;;;;;;;;
ZCD;GALACTIC GREY MET_VJ;SUZUKI;68;12;13,6;2,4;4,8;10,4;8;2,4;1,6;1,6;5,6;2,4;20;30,4;;;
Y2S;SILVER GOLD_VJ;HYUNDAI;110;20;33;5;2;1;16;1;1;9;;;;;;;
GUINDO-3;GUINDO OSCURO PERLA_VJ;MITSUBISHI;100;10;70;30;25;700;;;;;;;;;;;
CDR-7;VERDE FRANJA CAMION_VJ;NISSAN;42;126;28;;;;;;;;;;;;;;
02C;WORLD RALLY BLUE PEARL_VJ;SUBARU;251;44;55;44;44;3;1400;;;;;;;;;;
K23-KS;BRILLIANT SILVER MET_VJ;NISSAN KICS;150;384;60;4;;;;;;;;;;;;;
1F4;DARK GREY MICA MET_VJ;TOYOTA;94,6;14,8;3,7;33,8;3,2;3,8;4,5;0,2;2,3;36,5;;;;;;;
KAD-FT;STEEL GREY MET_VJ;NISSAN FRONTIER;71;51;23;11;1;3;7;7;15;10;;;;;;;
541-TOY;YELLOW_VJ;TOYOTA;96;21;24;7,5;55,5;;;;;;;;;;;;
681-TOY;GREEN_VJ;TOYOTA;102;10;4;102;;;;;;;;;;;;;
681-SLX;GREEN_VJ;TOYOTA;280;30;6;185;60;80;1030;;;;;;;;;;
160-TOY;BLUISH SILVER MET_VJ;TOYOTA;120,5;9;14;33,5;5;2;0,5;1,5;2;1;14;;;;;;
ISEKI-SLX;AZUL ISEKI_VJ;ISEKI;20;18;43;25;100;;;;;;;;;;;;
B76-4;ROUGE DE FEU NACRE MET_VJ;RENAULT;63,2;16,7;10,3;6;3;3;0,5;3;4;16,6;19,4;6,7;38,6;;;;
ZY8;SHINING RED PEARL-VJ;SUZUKI;72,8;16,8;3,2;4;8;16;8;19,2;42,2;;;;;;;;
T38;NARES BLUE MET_VJ;MITSUBISHI;26;14,8;5,6;20,4;8;6;0,8;1,6;12;10;12;34,4;9,6;4;20;;
ZDL;GRAPHITE GREY PEARL MET_VJ;SUZUKI;50;28;14;6;17;3;16;3;6;48;;;;;;;
BPE290;NEGRO IV_VJ;FARBEN;16;3;1;;;;;;;;;;;;;;
3R3-CR;BARCELONA RED MET-VJ;TOYOTA COROLLA;50;19;5;1;10;2;25;85;;;;;;;;;
GLORY;PRATA BEIGE MET_VJ;GLORY;70;65;2;4;17;2;4;35;;;;;;;;;
6P1-2;BLUISH GREEN MET_VJ;TOYOTA;14;8;10;4;14;51;20;4;7;5;2;45;;;;;
BPA 298;ESM.PU.ACRILICO AZUL NEUTRO_VJ;FARBEN;23;0,7;0,2;60;;;;;;;;;;;;;
NBL;VERMELHO SCARLLET PERLA_VJ;NISSAN;15;19;48;3;112;;;;;;;;;;;;
587-2;CHAMPAGNE MICA MET_VJ;TOYOTA 4-RUMNER;37;70;18;15;20;7;7;17;;;;;;;;;
324-CH;DAZZLE ORANGE MET_VJ;CHERRY;66;40;28;28;58;28;5;60;;;;;;;;;
FHVL-4;VERDE LIMON VOLVO_VJ;VOLVO;106;27;12;14;52;;;;;;;;;;;;
SH8;XING JI HUI PM MET_VJ;CHANGAN;32;8;14;10;7;7;1;1;5;30;78;;;;;;
317-TA;SPICE RED PEARL _VJ;TATA;40;;10;50;3;10;13;15;40;;;;;;;;
B602P;NEY KYANITE BLUE PEARL _VJ;HONDA;30;22;1;34;28;26;1;4;18;6;;;;;;;
Y-01;BRAZIL YELLOW SOLID_VJ;BYD;110;2;0,5;1,4;100;;;;;;;;;;;;
GH;DARK IRON GREY MET_VJ;CHERRY;32;7;27;9;9;5;17;2;3;83;;;;;;;
KWE;BLANCO BASE P/ KWE;PEUGEOT;226;1,5;3,1;;;;;;;;;;;;;;
CNA;BRUN CAJOU MET_VJ;RENAULT;92;6;1;6;1;78;40;64;7;110;;;;;;;
LUCI-4;PLATA BARANDAS_VJ;SALCOMIX;360;24;24;28;3;132;1240;;;;;;;;;;
BPE271;BLANCO TITANIO_VJ;FARBEN;75;6;2;15;15;;;;;;;;;;;;
857-TOY;MEDIUN BLUE_VJ;TOYOTA;160;120;47;70;100;140;24;1200;;;;;;;;;
N9S;TRIATHLON GREY MET_VJ;HYUNDAI;80;30;15;35;47;3;60;6;15;120;;;;;;;
W32-POLI;FAIRY WHITE_VJ;MITSUBISHI;220;1,1;1,2;0,1;0,2;0,4;;;;;;;;;;;
42A;METEOR GREY MET_VJ;MAZDA;210;60;36;10;16;32;8;3;7;;;;;;;;
E41;LIGHT YELLOW_VJ;NISSAN;174;4;0,8;17,6;1,6;27,2;;;;;;;;;;;
UJ;STERLING GREY MET_VJ;FORD;90;2;7;57;40;;;;;;;;;;;;
CAS;IMPERIAL AMBER PEARL_VJ;NISSAN;80;17;17;4;17;2;1;10;50;;;;;;;;
ZQT;URBAN BLUE MET_VJ;SUZUKI;56;56;5;10;2;23;5;3;2;24;16;;;;;;
W32-2;FAIRY WHITE_VJ;MITSUBISHI;225;0,3;0,6;0,3;;;;;;;;;;;;;
Z7Q;MAGMA GREY MET_VJ;SUZUKI;75;6;8;3;1;1;3;94;;;;;;;;;
T88-2;MOON LIGHT BLUE PEARL_VJ;MITSUBISHI;50;31,5;40;37;33;15;2;0,7;2;;;;;;;;
LA5;PEARLESCENT BLACK MET_VJ;CHANGAN;140;8;6;3;0,3;0,7;13;23;;;;;;;;;
924-TOY;PURPLE MET_VJ;TOYOTA;69;12;27,6;8,1;2,7;0,9;4,5;21;8,4;39,8;;;;;;;
3M2;MAGENTA MET_VJ;TOYOTA;45;13;20;4;4;4;18;80;;;;;;;;;
1G3-HX;GREY MET_VJ;TOYOTA HILUX;13,4;33;21,1;1,6;2,6;9,6;1,6;5,6;19,5;81;;;;;;;
ZUG;GAIA BRONZE MET_VJ;SUZUKI;85;10;16;6;16;5;1;15;60;;;;;;;;
KX4;SILVER MET_VJ;NISSAN;150;12;8;1;14;1;36;82;76;;;;;;;;
Z10;SUPER RED_VJ;NISSAN;65;20;6;37;36;47;1;8;;;;;;;;;
070-LC;BLANCO BASE P/ 070;TOYOTA;1021;0,5;2;8,6;18;3,1;3;;;;;;;;;;
G35;EMERAUDE GREEN PEARL_VJ;MITSUBISHI;54;4;35;25;56;10;4;2;90;110;;;;;;;
NBQ;BURGUNDY MET-VJ;NISSAN;45;24;9;6;12;15;3;58;;;;;;;;;
BPE 275;BASE ROSA_VJ;FARBEN;20;6;5;30;;;;;;;;;;;;;
BPE 620;DORADA MEDIA PEARL_VJ;FARBEN;15;28;12;1;;;;;;;;;;;;;
GCE;SAMONA JEWEL PEARL-VJ;CHEVROLET;23;2;11;3;35;14;13;12;76;;;;;;;;
BPE 626;AZUL FINO PEARL_VJ;FARBEN;2000;475;250;;;;;;;;;;;;;;
X2R;RED PASSION PEARL _VJ;HYUNDAI;90;14;3;20;2;4;12;20;30;;;;;;;;
R4G-AT;TITAN GREY MET_VJ;HYUNDAI;80;7;8;19;28;12;10;8;20;23;;;;;;;
1A5-2;WARM GREY PEARL MET_VJ;TOYOTA;107,8;18,4;16;28,5;1,8;1,5;1,5;1,4;12,2;;;;;;;;
ZA4;COOL BEIGE MET_VJ;SUZUKI;42;42;42;2;3;4;23;3;39;;;;;;;;
APPLE-1;VERDE VIVA MET_VJ;BUS FLOTA;15;16;42;16;11;2;1;135;;;;;;;;;
APPLE-2;VERDE VIVA MET_VJ;BUS FLOTA;17;7;20;3;60;;;;;;;;;;;;
181-TOY;BLUISH SILVER MET_VJ;TOYOTA;80;80;0,5;1;2,5;5;2;8;;;;;;;;;
KAC;BROWNISH GREY MET_VJ;NISSAN;67,8;45,6;12;1,8;3,8;0,6;9;3,4;38,1;;;;;;;;
ZNZ;GLISTENING GREY MET_VJ;SUZUKI;105;24;10;9;8;2;68;;;;;;;;;;
1A3;MEDUIM GREY MICA MET_VJ;TOYOTA;180;104;16;44;152;12;10;8;12;43;6;50;;;;;
6L5;LIGHT GREEN MET_VJ;TOYOTA;50;25;3;1;7;9;4;3;;;;;;;;;
DCF;VERMELHO BARI_VJ;FORD;70;14;3;117;;;;;;;;;;;;;
CP2;BROWN PEARL_VJ;NISSAN;180;110;80;40;90;140;;;;;;;;;;;
8R3;GREYISH BLUE MET_VJ;TOYOTA;31;31;31;16;16;11;3;2;1;35;;;;;;;
GREEN-1;VERDE CANDY BASE;FARBEN;33;12;5;;;;;;;;;;;;;;
GREEN-3;VERDE PEARL-VJ;FARBEN;25;7;15;;;;;;;;;;;;;;
GREEN-2;VERDE CANDY TRANSPARENTE;FARBEN;25;3;1;;;;;;;;;;;;;;
C-DORADO;CASA DORADA MET_VJ;FARBEN;75;4;7;1,3;2;10;35;20;;;;;;;;;
TROFEO;GOLD TROFEO MET_VJ;FARBEN;70;20;17;10;45;;;;;;;;;;;;
070-HX;BLANCO BASE P/ 070_VJ;TOYOTA;232,5;0,2;2,7;0,1;0,2;0,1;1,8;;;;;;;;;;
186-BPA;ROJO OXIDO_VJ;FARBEN;800;15;14;1800;;;;;;;;;;;;;
4F;CHAMPAGNE SILVER MICA MET_VJ;MAZDA;12,1;46,8;4,6;13,1;41,7;14,1;49;1;1,1;5,1;1,5;18;;;;;
COBRE;COBRE MET MONOPOL_VJ;POLIDURA;70;25;1;7;10;55;;;;;;;;;;;
DR-MPL;DORADO MET MONOPOL_VJ;POLIDURA;87;4;27;12;20;;;;;;;;;;;;
Y6U;TWILLIGHTE BLUE MET_VJ;HYUNDAI;74;17;8;5;51;2;5;8;16;19;;;;;;;
TROFEO-2;GOLD MET_VJ;FARBEN;15;15;13;9;1;13;80;;;;;;;;;;
056-YAT;WHITE_VJ;TOYOTA;2131;10;10;2;;;;;;;;;;;;;
199-ALT;SILVER MET_VJ;TOYOTA;51;0,6;15;27;45;;;;;;;;;;;;
GD-MAT;DOURADO MATE MET_VJ;MOTO;89;0,6;55;;;;;;;;;;;;;;
ZVR-IG;BLANCO BASE P/ ZVR;SUZUKI;218;1,5;0,7;0,3;0,1;0,3;4;;;;;;;;;;
6Q7-HX;DARK GREEN MICA_VJ;TOYOTA;12;26;5;28;5;14;24;90;2;;;;;;;;
TROFEO-3;GOLD TROFEO;FARBEN;30;0,8;0,6;;;;;;;;;;;;;;
464-TOY;BEIGE_VJ;TOYOTA;85;117,8;2,8;11,8;;;;;;;;;;;;;
KBY;STEALTH GRAY_VJ;NISSAN;83;25;12;27;1;2;5;0,2;39;;;;;;;;
BW9-ALT;DARK BLUE PEARL_VJ;NISSAN;800;20;390;700;300;800;;;;;;;;;;;
KAD-2023;STEEL GREY MET_VJ;NISSAN FRONTIER;34;54;40;4;12;10;12;84;90;;;;;;;;
KAD*;STEEL GREY MET_VJ;NISSAN FRONTIER;50;16;14;12;8;8;2;44;20;;;;;;;;
CDR-8;AZUL INTENSO_VJ;NISSAN;166;39;23;30;49;7;130;;;;;;;;;;
GVJ;RUSK GREY MET_VJ;CHEVROLET;61;12;11;11;3;7;1;8;6;39;35;;;;;;
CAU;SUNSET ORANGE PEARL_VJ;NISSAN;14;9;14;4;90;7;30;22;;;;;;;;;
B34;BLUE_VJ;NISSAN;165;20;18;;;;;;;;;;;;;;
1736  GM;CINZA AUSTIN GM_VJ;GM;15;30;2;4;3;28;;;;;;;;;;;
RF6;YAO DONG RED_VJ;CHANGAN;14;8;2;2;4;43;8;112;;;;;;;;;
8234  MB;PRATA CUBANITA_VJ;MERCEDES BENZ;400;206;122;50;20;20;50;300;532;;;;;;;;
LUCI-FI;LARANJA EVOLUTION PERAL_VJ;FARBEN;50;50;65;16;300;62;32;300;;;;;;;;;
ZTG;TORQUE BLUE PEARL_VJ;TOYOTA;39;5;7;9;13;9;4;14;28;0,5;71;;;;;;
BPA-191;ROJO VIVO;FARBEN;885;200;220;;;;;;;;;;;;;;
183-TOY;DARK BLUISH GREY MICA MET_VJ;TOYOTA;220;151;162;15;50;3;9;27;60;185;;;;;;;
TROFEO-5;GOLD MET_VJ;FARBEN;60;10;6;5;16;14;;;;;;;;;;;
18J;CRISTALSILVER MET_VJ;SUZUKI;1300;12;23;500;;;;;;;;;;;;;
T2X;TYPHOON SILVER MET_VJ;HYUNDAI;84;1;1,5;4;1,5;4,3;2,4;0,3;43;50;;;;;;;
A20-NV;SCARLET RED_VJ;NISSAN;110;33;21;;;;;;;;;;;;;;
RG3;JING YAO HONG MET_VJ;CHANGAN;7;22;1;1;5;25;7;3;112;;;;;;;;
9AE-ORI;LIGHT PURPLE MICA MET_VJ;TOYOTA;160;14;120;24;2;40;1,3;1;16;;;;;;;;
RBK;TURQUOISE PEARL MET _VJ;NISSAN;30;13;27;36;4;20;2;10;11;26;;;;;;;
ABT-2;PLATINUM GRAPHITE MET_VJ;KIA;85;28;14;10;3;10;5;15;45;;;;;;;;
BLA;FORMAL DEEP BLUE MET_VJ;KIA;120;12;60;2;24;10;2;12;30;100;;;;;;;
3F1;DARK RED_VJ;TOYOTA;140;20;8;6;20;;;;;;;;;;;;
A75;MELBOURNE ROT MET_VJ;BMW;53;39;2;46;19;23;8;;;;;;;;;;
A54;RED Z_VJ;NISSAN;101;65;40;7;;;;;;;;;;;;;
B02;ROYAL BLUE_VJ;MITSUBISHI;50;9;23;44;68;;;;;;;;;;;;
9880-GM;VERDE GROPIUS MET_VJ;GM;77;3;11;3;110;;;;;;;;;;;;
218-TOY;ATITUDE BLACK MICA_VJ;TOYOTA;122;1;14;0,5;1;8;9,5;30;;;;;;;;;
Z4Q-BN;FIRE RED_VJ;SUZUKI;23,4;48,6;7,2;108;;;;;;;;;;;;;
BPE-280;BASE NEGRO AZULADO;FARBEN;31;23;;;;;;;;;;;;;;;
AL-FE;ALUMINIO PU_VJ;FARBEN;160;30;6;2;;;;;;;;;;;;;
A20;STARLED RED_VJ;NISSAN;90;7;16;58;20;;;;;;;;;;;;
ANGOLA;DOURADO MET_VJ;TOYOTA;951;230;81;639;16;;;;;;;;;;;;
692/A;CINZA SCANDIUM MET_VJ;FIAT;74;66;102;47;4;25;10;12;6;37;;;;;;;
ZTH;PACIFIC BLUE MET_VJ;SUZUKI;138;56;200;150;17;100;24;10;24;25;40;;;;;;
KKSP-1;ROJO PERLA SPACIO_VJ;TOYOTA;120;64;7;40;46;9;8;112;;;;;;;;;
G99-MS;FABRE GREEN MET_VJ;MITSUBISHI;36;20,4;20,4;13,6;10,2;1,7;39,1;12,2;40,8;;;;;;;;
EAF;ANODIZED ORANGE_VJ;NISSAN;30;10;5;2;57;;;;;;;;;;;;
3D7;RED_VJ;TOYOTA;99,2;6;4,1;0,8;15,2;90;;;;;;;;;;;
MENDEZ;RED MET_VJ;VOLVO;500;30;30;80;30;20;150;;;;;;;;;;
3T0;MOULIN ROUGE MICA_VJ;TOYOTA;24;13;2;8;33;5;3;10;30;31;;;;;;;
LA9B;CANDYWEISS_VJ;VOLKSWAGEN;221,6;0,7;0,2;0,5;1,8;1,4;;;;;;;;;;;
1841C;CHAMPAGNE MET_VJ;SOFOSA;700;307;120;55;30;300;52;300;;;;;;;;;
ZWG;SPEEDY BLUE MET _VJ;SUZUKI;80;2;170;10;11;55;;;;;;;;;;;
ZVD;FORMAL DEEP BLUE MET_VJ;SUZUKI;109,2;3,3;25,4;5,7;0,8;13;3,3;25,4;;;;;;;;;
H4;ELECTRIC RED_VJ;HYUNDAI;171;14;1;40;180;;;;;;;;;;;;
DPQ;VERT EMERUADE MET_VJ;RENAULT;31;20;27;7;13;13;20;50;30;40;3;12;96;18;8;;
R292;RED CFR_VJ;HONDA;67;40;8;40;2;6;65;;;;;;;;;;
ZLC;EVER GREEN PEARL MET_VJ;SUZUKI;43;5;25;6;3;46;9;10;10;5;;;;;;;
LY3J;BRILLANT ROT_VJ;VOLKSWAGEN;206;42;13;80;46;;;;;;;;;;;;
U04;QUICK SILVER MET_VJ;MITSUBISHI;135;17;2;15;2;2;15;;;;;;;;;;
KAD-NVFR;DARK STEEL MET_VJ;NISSAN;65;24;1;4;13;5;21;33;20;;;;;;;;
RHM;SLEEK SILVER MET_VJ;HYUNDAI;215;580;6;8;160;7;21;700;;;;;;;;;
LY3J;BRILLANTROT_VJ;AUDI;28;60;1;;;;;;;;;;;;;;
PORCHE-2;NARANJA PORCHE_VJ;PORCHE;30;3;12;9;12;45;;;;;;;;;;;
CDR-8;VERDE CALIPSO_VJ;NISSAN;91;1;10;1;5;41;1;80;;;;;;;;;
C361;CAMEL TROPHY_VJ;LAND ROVER;320;610;4;190;680;;;;;;;;;;;;
SUZ-MCH;AZUL METALLIC_VJ;SUZUKI;20;22;1;24;70;;;;;;;;;;;;
P63;RED SOLID_VJ;MITSUBISHI;50;3;2,6;5;30;162;175;;;;;;;;;;
ZNZ;GLISTENING GREY MET_VJ;SUZUKI;105;24;10;9;8;2;68;;;;;;;;;;
W81;BLANCO BASE P/ W81_VJ;MITSUBISHI;219,5;0,2;0,3;1,5;0,3;;;;;;;;;;;;
GWP;BLANCO BASE P/ GWP_VJ;KIA;221;0,2;0,1;1;;;;;;;;;;;;;
BPE 611;XRL RADIANT RED_VJ;FARBEN;54;23;;;;;;;;;;;;;;;
BPE 275;BASE ROSA_VJ;FARBEN;20;6;5;30;;;;;;;;;;;;;
A 929;BASE NEGRO AZULADO;FARBEN;31;10;2;;;;;;;;;;;;;;
MASERO;AMARILLO VERDOSO MET_VJ;SUZUKI;170;1;12;5;15;;;;;;;;;;;;
B42;BLUE_VJ;NISSAN;20;12;5;80;35;84;;;;;;;;;;;
S9094005;SPIRITED GREEN MET_VJ;VOLVO;960;15;500;61;10;800;;;;;;;;;;;
8S9;CINZA SCANDIUM MET_VJ;TOYOTA;29;16,1;60;0,7;2,8;0,5;11;9;8,4;0,9;14,2;6,2;18,4;3;2;;
MIT-1;ROJO PERLA 46V_VJ;MITSUBISHI;102;22;8;40;22;;;;;;;;;;;;
RF4-2;XUAN DONG  RED MET_VJ;CHANGAN;160;4;10;5;14;;;;;;;;;;;;
SCM;KIWI GREEN MET_VJ;HYUNDAI;80;30;23;20;13;3;3;11;16;;;;;;;;
KTM;NARANJA KTM_VJ;KTM;190;5;1;2;2;;;;;;;;;;;;
MOT-1;RED CANDY MET_VJ;MOTO;160;2;1;5;30;;;;;;;;;;;;
MOT-2;ROJO PERLA_VJ;HONDA;148;22;8;10;14;1;;;;;;;;;;;
MAZ-1;TURQUOISE BLUE PEARL_VJ;MAZDA;7;3,5;16,1;25,4;2;14,7;29,8;8,7;16,1;3,5;26,5;9,1;36,1;;;;
1A5-3;WARM GREY PEARL MET_VJ;TOYOTA;112;20;16;30;1,8;1,5;1,5;1,4;0,3;4;0,4;13,4;;;;;
BPE-625;AZUL PERLA GRUESO_VJ;FARBEN;19;6;16;7;;;;;;;;;;;;;
R4R-i10;FIERY RED PEARL _VJ;HYUNDAI;60;6;4;2;10;40;3;64;;;;;;;;;
CH-8;ROJO TINTO PERLA_VJ;SWM;50;10;19;29;33;3;39;1;14;;;;;;;;
KKSP-3;VERDE TURQUESA MET_VJ;TOYOTA;45;32;1;14;2;6;20;53;24;;;;;;;;
RG3-2;JING YAO HONG MET_VJ;CHANGAN;7;22;1;1;5;25;7;3;2;11;112;;;;;;
EXP-TAR-1;NARANJA EXPRESO TARIJA_VJ;FARBEN;600;100;12;1200;;;;;;;;;;;;;
EXP-TAR-2;AMARILLO CROMO EXPRESO TARIJA_VJ;FARBEN;164;290;140;8;30;3;360;;;;;;;;;;
BPE 680;ALUMINIO GRUESO;FARBEN;1460;1460;;;;;;;;;;;;;;;
HNP;BEIGE DUNE MET_VJ;RENAULT;59;2,5;21;53,5;2;4;7;5;11,5;38;;;;;;;
ARO-1;DOURADO MET_VJ;HONDA;50;7;20;3;30;90;;;;;;;;;;;
BPE 288;ALUMINIO GRUESO;FARBEN;2220;900;20;100;140;;;;;;;;;;;;
GBF;EMERALD GREEN PEARLCOAT_VJ;DODGE;25;7;2;4;1;12;12;;;;;;;;;;
1E2-TOY;DARK GREY MICA MET_VJ;TOYOTA;220;160;10;18;10;15;17;80;;;;;;;;;
M9Y;MILKY BEIGE MET_VJ;KIA;80,1;66,7;2;5;12;28;;;;;;;;;;;
TW3;BLANCO BASE P/ WW2;HYUNDAI;225;0,2;0,3;0,8;0,3;;;;;;;;;;;;
MAZ-2;RED CANDY MET_VJ;MAZDA;130;4;40;44;10;17;7;3;5;200;;;;;;;
DR3-ALT;DARK GREEN PEARL-VJ;NISSAN;140;70;8;2;2;73;30;1;17;102;;;;;;;
